Filename,License Plate
nitish235.png,7654321
nitish205.png,CG 07 MR 0144
nitish195.png,CC-07CF-6414
nitish51.png,CG-0274-346D
nitish364.png,6789012345
nitish237.png,CLHLYT4386
nitish33.png,CG97-AF-6802
nitish45.png,COOP780
nitish22.png,GCHJ 297T
nitish11.png,7195181
nitish17.png,710195
nitish96.png,000000
nitish379.png,CG07LP3546
nitish200.png,6789
nitish101.png,FQ745Z16
nitish241.png,CC-0714959
nitish557.png,LE01T
nitish417.png,CG-05 UT-21
nitish445.png,LG07AB109
nitish68.png,CG07RL
nitish115.png,0123456789
nitish426.png,172121
nitish137.png,1
nitish173.png,1234567
nitish56.png,1607-19-5393
nitish128.png,CG-97DA 3260
nitish198.png,7016
nitish459.png,0071418
nitish223.png,CGOT-UP
nitish416.png,1G71N
nitish304.png,CC07APZ04
nitish403.png,04716
nitish262.png,07LD2031
nitish552.png,CG-07 BB-4230
nitish185.png,CC-17CP-571
